CMDLINE python3 /work/sbali/monaural-source-separation/train.py --dataset_spec /work/sbali/monaural-source-separation/experiments/hyperparameter/dataset/t0-2s-10c/4s-waveunet.json --model_spec /work/sbali/monaural-source-separation/experiments/hyperparameter/model/Wave-U-Net/t0-2s-10c/000.json --checkpoint_freq 50
MEM 0.281250 1587755078.0967
MEM 8.222656 1587755078.1970
MEM 8.773438 1587755078.2974
MEM 9.316406 1587755078.3978
MEM 10.363281 1587755078.4982
MEM 10.625000 1587755078.5985
MEM 12.187500 1587755078.6990
MEM 13.410156 1587755078.7993
MEM 14.617188 1587755078.8997
MEM 16.820312 1587755079.0000
MEM 17.113281 1587755079.1004
MEM 19.464844 1587755079.2007
MEM 22.070312 1587755079.3013
MEM 22.074219 1587755079.4018
MEM 22.074219 1587755079.5022
MEM 22.074219 1587755079.6026
MEM 22.074219 1587755079.7029
MEM 22.074219 1587755079.8033
MEM 23.332031 1587755079.9037
MEM 23.382812 1587755080.0041
MEM 23.386719 1587755080.1045
MEM 27.488281 1587755080.2052
MEM 27.664062 1587755080.3058
MEM 27.667969 1587755080.4063
MEM 28.812500 1587755080.5067
MEM 28.812500 1587755080.6071
MEM 29.316406 1587755080.7076
MEM 29.316406 1587755080.8080
MEM 29.316406 1587755080.9085
MEM 29.316406 1587755081.0089
MEM 29.410156 1587755081.1093
MEM 29.750000 1587755081.2097
MEM 29.750000 1587755081.3101
MEM 29.753906 1587755081.4105
MEM 29.765625 1587755081.5109
MEM 29.769531 1587755081.6113
MEM 29.769531 1587755081.7117
MEM 29.769531 1587755081.8120
MEM 29.785156 1587755081.9125
MEM 29.785156 1587755082.0130
MEM 29.796875 1587755082.1134
MEM 29.796875 1587755082.2139
MEM 29.796875 1587755082.3143
MEM 29.796875 1587755082.4146
MEM 29.796875 1587755082.5150
MEM 29.812500 1587755082.6155
MEM 29.851562 1587755082.7159
MEM 29.855469 1587755082.8163
MEM 29.886719 1587755082.9167
MEM 29.898438 1587755083.0170
MEM 29.898438 1587755083.1174
MEM 29.957031 1587755083.2611
MEM 29.960938 1587755083.3615
MEM 29.960938 1587755083.4619
MEM 30.457031 1587755083.5623
MEM 31.476562 1587755083.6629
MEM 31.476562 1587755083.7633
MEM 31.476562 1587755083.8637
MEM 31.476562 1587755083.9641
MEM 31.476562 1587755084.0645
MEM 31.476562 1587755084.1649
MEM 31.476562 1587755084.2652
MEM 31.476562 1587755084.3656
MEM 48.703125 1587755084.4660
MEM 57.324219 1587755084.5664
MEM 57.324219 1587755084.6668
MEM 59.351562 1587755084.7672
MEM 59.351562 1587755084.8677
MEM 59.351562 1587755084.9682
MEM 59.597656 1587755085.0687
MEM 59.597656 1587755085.1692
MEM 60.097656 1587755085.2697
MEM 60.097656 1587755085.3703
MEM 60.097656 1587755085.4708
MEM 65.996094 1587755085.5712
MEM 65.996094 1587755085.6716
MEM 68.804688 1587755085.7721
MEM 70.820312 1587755085.8725
MEM 73.382812 1587755085.9729
MEM 77.753906 1587755086.0733
MEM 77.753906 1587755086.1736
MEM 79.535156 1587755086.2740
MEM 80.187500 1587755086.3744
MEM 81.156250 1587755086.4749
MEM 83.722656 1587755086.5754
MEM 88.656250 1587755086.6757
MEM 90.429688 1587755086.7761
MEM 91.613281 1587755086.8764
MEM 92.574219 1587755086.9767
MEM 93.554688 1587755087.0771
MEM 94.847656 1587755087.1774
MEM 95.953125 1587755087.2777
MEM 96.929688 1587755087.3781
MEM 98.714844 1587755087.4784
MEM 99.316406 1587755087.5788
MEM 100.562500 1587755087.6791
MEM 100.562500 1587755087.7796
MEM 100.718750 1587755087.8800
MEM 100.718750 1587755087.9804
MEM 100.929688 1587755088.0808
MEM 102.222656 1587755088.1812
MEM 102.324219 1587755088.2816
MEM 102.554688 1587755088.3819
MEM 102.937500 1587755088.4822
MEM 103.539062 1587755088.5827
MEM 103.921875 1587755088.6831
MEM 103.921875 1587755088.7834
MEM 103.921875 1587755088.8837
MEM 103.921875 1587755088.9841
MEM 103.921875 1587755089.0845
MEM 103.921875 1587755089.1848
MEM 104.863281 1587755089.2852
MEM 104.863281 1587755089.3858
MEM 105.214844 1587755089.4864
MEM 105.398438 1587755089.5869
MEM 105.937500 1587755089.6872
MEM 106.828125 1587755089.7875
MEM 107.742188 1587755089.8879
MEM 108.140625 1587755089.9882
MEM 108.386719 1587755090.0888
MEM 109.402344 1587755090.1891
MEM 110.539062 1587755090.2895
MEM 111.929688 1587755090.3899
MEM 114.171875 1587755090.4902
MEM 115.191406 1587755090.5905
MEM 116.089844 1587755090.6909
MEM 118.421875 1587755090.7911
MEM 119.027344 1587755090.8915
MEM 120.070312 1587755090.9918
MEM 122.914062 1587755091.0921
MEM 123.550781 1587755091.1927
MEM 125.406250 1587755091.2930
MEM 126.605469 1587755091.3934
MEM 127.656250 1587755091.4937
MEM 128.613281 1587755091.5941
MEM 130.425781 1587755091.6945
MEM 130.425781 1587755091.7948
MEM 130.660156 1587755091.8952
MEM 130.746094 1587755091.9956
MEM 130.679688 1587755092.0960
MEM 130.679688 1587755092.1963
